aF1,bF1,cF1,dF1,F2,F3,F4,F5,F6,aF7,bF7,CF7,aF8,bF8,cF8,aF9,bF9,cF9,dF9,af10,bf10,cf10,df10,Label
0.617659555,0.8704967243,0.9115915358,0.7644899339,0.4433996804,1.151277459,1.102167645,0.8335926782,2.960473727,0.5122003067,0.3496656145,0.581803705,0.5122003067,0.3496656145,0.581803705,1.393445469,1.110376186,0.6174697374,0.3220514068,0.1140705271,0.1391360062,0.1211687841,0.1010785847,Person 5
0.6211119669,0.8691661343,0.9057059263,0.7660685446,0.4443225084,1.129249103,1.100107794,0.8307660087,2.935222891,0.5274407083,0.3801350112,0.5629310048,0.5274407083,0.3801350112,0.5629310048,1.370169672,1.103696259,0.6113160166,0.3268758753,0.1154127473,0.1416572423,0.1210867672,0.1011398462,Person 5
0.5979049354,0.8640479959,0.8954688141,0.7671637489,0.4428927413,1.138359061,1.105158376,0.8380833629,2.910587805,0.5108230283,0.3927631466,0.4820905905,0.5108230283,0.3927631466,0.4820905905,1.374291541,1.113310476,0.6135775306,0.331954404,0.1137728346,0.1410738205,0.1189874507,0.1019144796,Person 5
0.6060784555,0.8631237443,0.9112703194,0.7712535528,0.4430295756,1.125925355,1.103447454,0.8269116918,2.902841462,0.5324985973,0.3451908458,0.5447163309,0.5324985973,0.3451908458,0.5447163309,1.391737621,1.097407074,0.6135448329,0.3268397122,0.115451303,0.1416422645,0.1211382906,0.1009103237,Person 5
0.5925261762,0.8710293818,0.8856676894,0.7214824307,0.4510873145,1.130844021,1.1269435,0.939220676,2.750300538,0.463084861,0.4105242178,0.5895273571,0.463084861,0.4105242178,0.5895273571,1.507450432,1.143181496,0.7278549622,0.3925013517,0.1141157261,0.1398303993,0.1184485027,0.09482238754,Person 7
0.5917799326,0.8679391292,0.8791042757,0.7017488781,0.4551024335,1.118885846,1.120714299,0.9410964842,2.738530581,0.4782055872,0.4377754781,0.6422215871,0.4782055872,0.4377754781,0.6422215871,1.460898968,1.133590876,0.7291745824,0.3872272978,0.1152102022,0.1419234613,0.1194227536,0.09332476816,Person 7
0.5938428162,0.867031358,0.8958572566,0.7155308371,0.4543540142,1.137415162,1.127758458,0.9448520335,2.752797829,0.4867284738,0.3812119742,0.6600804644,0.4867284738,0.3812119742,0.6600804644,1.446780705,1.14081439,0.7405094527,0.3903294747,0.1120877459,0.1364875803,0.1198234997,0.0944319899,Person 7
0.6033343305,0.8782066083,0.8852733394,0.7305967434,0.449200964,1.140290399,1.12403773,0.9398036099,2.754478406,0.4430908516,0.4173817073,0.5627217019,0.4430908516,0.4173817073,0.5627217019,1.475458762,1.139524982,0.7254018949,0.3990717599,0.1151794067,0.1388476519,0.1177383913,0.09450883101,Person 7
0.5941590427,0.8703531207,0.8870529647,0.7224873467,0.449160738,1.134724709,1.126359074,0.9508693475,2.760997458,0.4694049933,0.4089408293,0.5958332603,0.4694049933,0.4089408293,0.5958332603,1.470942622,1.164252804,0.7420505007,0.4054930489,0.1150527046,0.1413473115,0.1198803373,0.09506222693,Person 7
0.5947291548,0.8627843928,0.884066204,0.7138317711,0.4544388945,1.103761644,1.120424846,0.9418312618,2.740631908,0.5118930272,0.4324996477,0.6350722118,0.5118930272,0.4324996477,0.6350722118,1.459979423,1.162544906,0.7472673837,0.4091836591,0.1166094322,0.143589842,0.1215719577,0.09565459944,Person 7
